"","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00260548-01",0,1,0,0,0,0,0,0,0,0,0,0
"NCGC00256700-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260089-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258840-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257808-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258403-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259582-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00254405-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257964-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257909-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259756-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258173-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260264-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254971-01",0,0,0,0,0,0,0,1,0,0,0,0
"NCGC00260265-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260266-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260267-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255306-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260270-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257128-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00091086-02",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260395-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256162-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255158-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258529-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254724-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258457-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257703-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258932-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256420-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259783-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259255-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254161-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255110-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255994-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256076-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255879-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260383-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258422-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258652-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260193-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260190-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260187-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258577-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260182-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260185-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00260207-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00257775-01",0,0,0,0,0,0,0,1,0,0,0,0
"NCGC00257230-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257007-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254970-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255541-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254937-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257224-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257091-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259871-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255018-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258649-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256890-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00254618-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256089-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00253926-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256644-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255008-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254482-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256875-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259668-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254145-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256743-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255636-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259268-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00090776-02",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258380-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259750-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257921-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258364-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255191-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259452-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256069-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257969-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259830-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00253927-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257713-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257989-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260103-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257278-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257444-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257911-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254707-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260124-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255159-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259625-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256349-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256724-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256809-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255301-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258669-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256946-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259593-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00253932-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260078-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256471-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259988-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254416-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258676-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260542-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257824-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259104-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257162-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254643-01",1,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256138-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256734-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256071-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256188-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255341-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258568-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256873-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259949-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259594-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259689-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259553-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254058-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254119-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257173-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259656-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259665-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259402-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255045-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260138-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258513-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259055-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258524-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260463-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256918-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260317-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256860-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254567-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260030-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256836-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258248-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256974-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257729-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256691-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260348-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00256020-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258770-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256914-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256952-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259050-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256085-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259603-01",1,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257353-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00258907-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00257595-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257716-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256736-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257419-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254777-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257968-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259731-01",0,0,0,0,0,0,1,0,0,0,1,0
"NCGC00254457-01",0,0,0,0,0,0,1,0,0,0,1,0
"NCGC00256314-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258172-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256806-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258792-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257254-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259713-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255160-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257581-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254149-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255303-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255668-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255313-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259737-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257832-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257667-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256829-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256782-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254945-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259232-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256379-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259561-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254929-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256680-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258605-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256801-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256685-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256826-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256820-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00255628-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254953-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259632-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00091657-02",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256416-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00257315-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254749-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255112-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257685-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255833-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259697-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257363-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258002-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260377-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257614-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255928-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00259412-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254068-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00256058-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00258006-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255594-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256931-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257952-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254436-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260320-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257631-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259809-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257746-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00257538-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255818-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255795-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256136-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258736-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260359-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258428-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260120-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258078-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258019-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258079-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257301-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258854-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257018-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255462-01",0,0,0,0,1,1,0,0,0,0,0,0
"NCGC00254975-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255603-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258181-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259200-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260156-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256525-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256561-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256659-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254052-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255860-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258596-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257919-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257156-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258555-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259122-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256924-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255021-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254958-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255721-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00256887-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256167-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257564-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257403-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257518-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255131-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255940-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256277-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255097-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255092-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258859-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257346-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256892-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258679-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256239-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256936-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258709-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260285-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257855-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258024-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255162-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258898-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259630-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256084-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256922-01",0,0,0,0,0,0,0,0,0,1,0,0
"NCGC00255733-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254100-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254483-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255329-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256163-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254545-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256909-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254666-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257731-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258766-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254278-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256551-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255920-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259500-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254648-01",0,0,0,0,0,0,0,0,0,0,1,0
"NCGC00254737-01",1,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256851-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258292-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255709-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256252-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255529-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258697-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256008-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260107-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260100-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256945-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255087-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256149-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255390-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256759-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260396-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259107-01",0,0,0,0,0,0,0,1,0,0,0,0
"NCGC00256976-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255532-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255161-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258740-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258083-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258489-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254600-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256092-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256711-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258753-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258730-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259061-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254469-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260667-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257962-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257958-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257916-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256009-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00183828-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259610-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254680-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255387-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258574-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259207-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257060-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258001-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258443-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260402-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255535-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256778-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259524-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258470-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256893-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257394-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00253944-01",0,0,0,0,0,0,0,1,0,0,0,0
"NCGC00257540-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256476-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254159-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255183-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259352-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257399-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259829-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00254168-01",0,0,0,0,1,0,0,0,0,0,0,0
"NCGC00257828-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256199-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254987-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256870-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256821-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254913-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260271-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255585-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256534-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257517-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256741-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254727-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257147-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256072-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255224-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256080-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256725-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256203-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258744-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256688-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00189077-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00258891-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254909-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254903-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255487-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254759-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257954-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256315-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256204-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254833-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254865-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257666-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255464-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254276-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00260445-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256832-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255956-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259549-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254235-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00259404-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254319-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00254568-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00256648-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00257982-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00255787-01",0,0,0,0,0,0,0,0,0,0,0,0
"NCGC00181297-01",0,0,0,0,0,0,0,0,0,0,0,0
